Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
npv/non-persistent-vote/n2=70/sigma=1.0e-2/create-lose,2.7170734005035e-4,2.7086528702880883e-4,2.7307288364171656e-4,2.4316406934511215e-6,1.6625962038637037e-6,3.21637097633632e-6
npv/non-persistent-vote/n2=70/sigma=1.0e-2/verify,1.68327254194383e-3,1.6718625540399937e-3,1.7237104579205535e-3,6.229029297594396e-5,1.0146207541914963e-5,1.294632157347786e-4
npv/non-persistent-vote/n2=70/sigma=1.0e-2/sortition-check,4.967549954181407e-6,4.9595332262076964e-6,4.975356183904251e-6,1.6325782811014205e-8,1.264371773699127e-8,2.0791204564876396e-8
npv/non-persistent-vote/n2=70/sigma=5.0e-2/create-win,3.951064537881728e-4,3.939832521292453e-4,3.965622258417492e-4,3.47501661952865e-6,2.8269853146981424e-6,4.297189935889301e-6
npv/non-persistent-vote/n2=70/sigma=5.0e-2/create-lose,2.6921174272449827e-4,2.6627599405638886e-4,2.7392183466946185e-4,8.072296414101644e-6,5.417561844482957e-6,1.2723327037801379e-5
npv/non-persistent-vote/n2=70/sigma=5.0e-2/verify,1.6485796855668668e-3,1.6412186304583937e-3,1.6651683956878725e-3,3.392211879128469e-5,1.7557484820477355e-5,6.341903438349251e-5
npv/non-persistent-vote/n2=70/sigma=5.0e-2/sortition-check,6.45178049019377e-6,6.4244545133230776e-6,6.482361514951201e-6,6.237645465140962e-8,4.262106213682039e-8,9.49796569420892e-8
npv/non-persistent-vote/n2=70/sigma=0.1/create-win,3.7759582538732375e-4,3.769638647940318e-4,3.787335092262492e-4,2.323419270607154e-6,1.412661186975697e-6,3.5065319479917216e-6
npv/non-persistent-vote/n2=70/sigma=0.1/verify,1.5693930792861225e-3,1.5674238008144725e-3,1.5716968132202605e-3,7.057581570168521e-6,5.406609118831323e-6,9.177679237564874e-6
npv/non-persistent-vote/n2=70/sigma=0.1/sortition-check,8.752967740122042e-6,8.740154803953745e-6,8.766204624256011e-6,2.904233332622618e-8,2.2909338847162595e-8,3.6153351380753746e-8
npv/non-persistent-vote/n2=70/sigma=0.25/create-win,3.911206823298521e-4,3.90102001557228e-4,3.9323345727333497e-4,4.045640048337869e-6,2.3124182058425584e-6,7.066802215141526e-6
npv/non-persistent-vote/n2=70/sigma=0.25/verify,1.6061102631427134e-3,1.6021706433028075e-3,1.6122345413489413e-3,1.567382042176336e-5,1.0991997505453407e-5,2.3279200148209308e-5
npv/non-persistent-vote/n2=70/sigma=0.25/sortition-check,1.691533293750648e-5,1.688456856839885e-5,1.6982669270928402e-5,9.203047640964103e-8,4.589566078847019e-8,1.3195770898158455e-7
